,user_id,user_last_launch,app_two_out,mean_user,day,sum_user,var_user,std_user,cont_day,user_register,day_sum,last_regist,last_rigist_day,day_count
0,16,23,0.3,0.004762982103094748,1.0,1200.0,19212912.57586206,4383.253651782208,6,13,,10,1.0,1200.0
1,30,24,0.03333333333333333,0.0069976145397967,2.0,1763.0,,,1,24,,0,2.0,1158.0
2,98,16,0.03333333333333333,0.009148894789694495,3.0,2305.0,,,1,16,,0,3.0,1224.0
3,105,30,0.5,0.010510313840829077,4.0,2648.0,,,2,12,,18,4.0,1167.0
4,176,30,0.13333333333333333,0.012971187927428029,5.0,3268.0,,,4,27,,3,5.0,1324.0
5,211,25,0.03333333333333333,0.017138797267635935,6.0,4318.0,,,1,25,,0,6.0,1863.0
6,218,30,0.6333333333333333,0.019460751042894624,7.0,4903.0,,,3,11,,19,7.0,1708.0
7,225,29,0.4666666666666667,0.017932627618151724,8.0,4518.0,,,13,7,,22,8.0,1231.0
8,250,29,0.4,0.018920946404543885,9.0,4767.0,,,9,17,,12,9.0,1179.0
9,325,30,0.13333333333333333,0.02108016495794684,10.0,5311.0,,,3,22,,8,10.0,1401.0
10,336,30,0.2,0.022917882219390895,11.0,5774.0,,,1,1,,29,11.0,1462.0
11,341,27,0.06666666666666667,0.02608129616619632,12.0,6571.0,,,1,25,,2,12.0,1658.0
12,420,28,0.1,0.03068948135094049,13.0,7732.0,,,3,26,,2,13.0,2157.0
13,422,5,0.03333333333333333,0.03312654052702397,14.0,8346.0,,,1,5,,0,14.0,2053.0
14,481,29,0.1,0.03046720885279607,15.0,7676.0,,,2,23,,6,15.0,1557.0
15,493,30,0.13333333333333333,0.031241193444548964,16.0,7871.0,,,3,23,,7,16.0,1506.0
16,555,30,0.3333333333333333,0.033436134363725126,17.0,8424.0,,,10,21,,9,17.0,1519.0
17,581,30,0.16666666666666666,0.03566282849692192,18.0,8985.0,,,5,26,,4,18.0,1611.0
18,589,28,0.06666666666666667,0.03719889022516998,19.0,9372.0,,,2,27,,1,19.0,1534.0
19,607,1,0.03333333333333333,0.041354592110120145,20.0,10419.0,,,1,1,,0,20.0,1794.0
20,639,18,0.03333333333333333,0.04749883902311237,21.0,11967.0,,,1,18,,0,21.0,2439.0
21,662,27,0.1,0.04997558971672164,22.0,12591.0,,,3,25,,2,22.0,2389.0
22,674,30,0.06666666666666667,0.05178155376414507,23.0,13046.0,,,2,29,,1,23.0,2312.0
23,711,29,0.1,0.05271430442600112,24.0,13281.0,,,1,6,,23,24.0,3072.0
24,746,14,0.03333333333333333,0.04846731205074164,25.0,12211.0,,,1,14,,0,25.0,1555.0
25,820,26,0.1,0.05223800621569164,26.0,13161.0,,,1,23,,3,26.0,1644.0
26,858,21,0.03333333333333333,0.058548957502292186,27.0,14751.0,,,1,21,,0,27.0,2197.0
27,901,22,0.1,0.06103364649940661,28.0,15377.0,,,1,14,,8,28.0,2186.0
28,927,28,0.03333333333333333,0.05780275697280734,29.0,14563.0,,,1,28,,0,29.0,1821.0
29,973,30,0.4,0.05883870558023045,30.0,14824.0,,,4,4,,26,30.0,1788.0
30,975,28,0.23333333333333334,,,,,,2,18,,10,,
31,982,30,0.1,,,,,,3,28,,2,,
32,1014,21,0.23333333333333334,,,,,,6,8,,13,,
33,1025,30,0.16666666666666666,,,,,,1,25,,5,,
34,1036,30,0.26666666666666666,,,,,,2,13,,17,,
35,1039,30,0.9333333333333333,,,,,,15,1,,29,,
36,1116,26,0.06666666666666667,,,,,,2,25,,1,,
37,1120,23,0.06666666666666667,,,,,,2,22,,1,,
38,1145,24,0.03333333333333333,,,,,,1,24,,0,,
