,user_id,user_last_launch,app_two_out,mean_user,day,sum_user,var_user,std_user,cont_day,user_register,day_sum,last_regist,last_rigist_day,day_count
0,98,16,0.03333333333333333,0.005746635942078461,1.0,202.0,308131.25172413787,555.0957140206884,1,16,,0,1.0,206.0
1,555,24,0.06666666666666667,0.009957042473898324,2.0,350.0,,,1,21,,3,2.0,224.0
2,973,28,0.5,0.01118033626354869,3.0,393.0,,,2,4,,24,3.0,229.0
3,1014,21,0.2,0.014252795084065887,4.0,501.0,,,6,8,,13,4.0,239.0
4,1180,21,0.03333333333333333,0.015703678415976786,5.0,552.0,,,1,21,,0,5.0,244.0
5,1296,18,0.3,0.021649455207533214,6.0,761.0,,,2,11,,7,6.0,336.0
6,1400,29,0.13333333333333333,0.027851270234132742,7.0,979.0,,,1,29,,0,7.0,323.0
7,1938,2,0.03333333333333333,0.021621006514750647,8.0,760.0,,,1,2,,0,8.0,226.0
8,2040,29,0.26666666666666666,0.02025546926118745,9.0,712.0,,,1,9,,20,9.0,210.0
9,2068,16,0.03333333333333333,0.02025546926118745,10.0,712.0,,,1,16,,0,10.0,239.0
10,2276,25,0.16666666666666666,0.02056840488179568,11.0,723.0,,,2,10,,15,11.0,250.0
11,2306,28,0.03333333333333333,0.025376233962049445,12.0,892.0,,,1,28,,0,12.0,253.0
12,2439,13,0.5666666666666667,0.035020340815339536,13.0,1231.0,,,2,11,,2,13.0,334.0
13,2914,23,0.4666666666666667,0.033910841796819434,14.0,1192.0,,,1,14,,9,14.0,321.0
14,2941,29,0.3333333333333333,0.030212511735085774,15.0,1062.0,,,2,21,,8,15.0,218.0
15,3473,27,0.03333333333333333,0.02970043526499957,16.0,1044.0,,,1,27,,0,16.0,237.0
16,3650,25,0.1,0.02896076925265284,17.0,1018.0,,,1,25,,0,17.0,222.0
17,3883,14,0.03333333333333333,0.03561776336377343,18.0,1252.0,,,1,14,,0,18.0,237.0
18,3897,19,0.2,0.03584535290603397,19.0,1260.0,,,1,12,,7,19.0,243.0
19,3952,26,0.13333333333333333,0.03962902904611533,20.0,1393.0,,,2,25,,1,20.0,279.0
20,4019,13,0.1,0.05029728883957782,21.0,1768.0,,,2,12,,1,21.0,324.0
21,4370,4,0.06666666666666667,0.05177662086427129,22.0,1820.0,,,2,3,,1,22.0,341.0
22,4527,28,1.7,0.052317146027140056,23.0,1839.0,,,1,4,,24,23.0,289.0
23,4790,30,0.16666666666666666,0.040852322835765696,24.0,1436.0,,,1,2,,28,24.0,239.0
24,4800,29,0.06666666666666667,0.047196381326278056,25.0,1659.0,,,2,28,,1,25.0,217.0
25,4831,24,0.03333333333333333,0.045517908452106626,26.0,1600.0,,,1,24,,0,26.0,220.0
26,5527,29,0.06666666666666667,0.061676765952604476,27.0,2168.0,,,1,23,,6,27.0,292.0
27,5789,29,0.16666666666666666,0.06395266137520982,28.0,2248.0,,,2,6,,23,28.0,239.0
28,5861,28,0.5666666666666667,0.05200421040653182,29.0,1828.0,,,2,13,,15,29.0,212.0
29,5989,11,0.13333333333333333,0.05109385223748969,30.0,1796.0,,,1,4,,7,30.0,163.0
30,6019,22,0.23333333333333334,,,,,,1,1,,21,,
31,6501,5,0.03333333333333333,,,,,,1,5,,0,,
32,6622,26,0.2,,,,,,3,23,,3,,
33,7524,10,0.03333333333333333,,,,,,1,10,,0,,
34,7722,28,0.13333333333333333,,,,,,1,2,,26,,
35,7954,9,0.06666666666666667,,,,,,1,9,,0,,
36,7982,2,0.06666666666666667,,,,,,1,2,,0,,
37,8057,21,0.03333333333333333,,,,,,1,21,,0,,
38,8226,29,0.13333333333333333,,,,,,2,19,,10,,
39,8255,8,0.1,,,,,,1,7,,1,,
40,8481,19,0.03333333333333333,,,,,,1,18,,1,,
41,8677,15,0.03333333333333333,,,,,,1,14,,1,,
42,9005,21,0.03333333333333333,,,,,,1,20,,1,,
43,9012,30,0.43333333333333335,,,,,,2,19,,11,,
44,9117,21,0.03333333333333333,,,,,,1,21,,0,,
45,9327,30,0.6666666666666666,,,,,,20,10,,20,,
46,9533,24,0.03333333333333333,,,,,,1,17,,7,,
47,9731,28,0.2,,,,,,1,15,,13,,
48,10282,7,0.03333333333333333,,,,,,1,7,,0,,
49,10381,10,0.03333333333333333,,,,,,1,10,,0,,
50,10528,10,0.13333333333333333,,,,,,2,9,,1,,
51,10562,30,0.16666666666666666,,,,,,2,27,,3,,
52,10573,13,0.06666666666666667,,,,,,2,12,,1,,
53,10858,29,0.13333333333333333,,,,,,1,22,,7,,
54,11331,3,0.03333333333333333,,,,,,1,3,,0,,
55,11447,25,0.13333333333333333,,,,,,2,3,,22,,
